accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
KP748815	UNVERIFIED: Uncultured fungus clone OR2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748813	UNVERIFIED: Uncultured fungus clone TW2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748818	UNVERIFIED: Uncultured fungus clone DE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
MZ158321	Gomphidius roseus voucher GH75-11 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence.	Gomphidius roseus	132918	1;131567;2759;33154;4751;451864;5204;5302;155619;452333;68889;227332;5389;5392;132918					false																		GH75-11					
ON863417	HIV-1 strain GH75 from Ghana integrase (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH75											
AY397209	HIV-1 strain S|GH75 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH75											
KP748814	UNVERIFIED: Uncultured fungus clone DE3 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748822	UNVERIFIED: Uncultured fungus clone RE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
AY856671	Hepatitis B virus isolate GH75 surface antigen (S) gene, partial cds.	Hepatitis B virus	10407	1;10239;2559587;2732397;2732409;2732514;2732515;10404;10405;3431302;10407	Ghana				false											GH75												
KU355887	Gymnocypris potanini microsatellite GH75 sequence.	Gymnocypris potanini	263516	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263516					false																							
KP748816	UNVERIFIED: Uncultured fungus clone OR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KX592575	Cacao swollen shoot virus isolate GH75, complete genome.	Cacao swollen shoot virus	31559	1;10239;2559587;2732397;2732409;2732514;2169561;186534;10652;3047713;31559	Ghana			leaf	false	Theobroma cacao	3641						11-Mar-2015	2015-03-11	2015-03-11	GH75												
EU098763	Gossypium herbaceum isolate GH75 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	Gossypium herbaceum	34274	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91836;41938;3629;214907;3633;34274					false											GH75												
KP748817	UNVERIFIED: Uncultured fungus clone RE4 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
AY397578	HIV-1 strain S|GH75 from Ghana envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH75											
KP748812	UNVERIFIED: Uncultured fungus clone DE2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748821	UNVERIFIED: Uncultured fungus clone TW1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
ON863385	HIV-1 strain GH75 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH75											
AY396936	HIV-1 strain S|GH75 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH75											
KP748819	UNVERIFIED: Uncultured fungus clone MV1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748820	UNVERIFIED: Uncultured fungus clone NR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
