accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
EF100841	Ailuropoda melanoleuca haplotype GH23 control region, partial sequence mitochondrial.	Ailuropoda melanoleuca	9646	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;33554;379584;9632;9645;9646					false																							
PQ732355	Uncultured Halobaculum sp. clone GH23 16S ribosomal RNA gene, partial sequence.	uncultured Halobaculum sp.	1682348	1;131567;2157;3366610;28890;2290931;183963;2235;1644056;43927;1682347;1682348				Halite, pigmented, sites 3,4	true																							
PP440131	Hynobius yiwuensis isolate GH23 cytochrome b (cytb) gene, partial cds mitochondrial.	Hynobius yiwuensis	244217	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;8292;41666;8293;30364;30366;36311;1527435;244217					false											GH23												
KR053130	Pseudo-nitzschia pungens isolate GH23 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, complete sequence and 5.8S ribosomal RNA gene, partial sequence.	Pseudo-nitzschia pungens	37318	1;131567;2759;2698737;33634;2696291;2836;33849;33850;33851;33852;41953;37318					false											GH23												
HQ694619	Carassius gibelio haplotype GH23 D-loop, partial sequence mitochondrial.	Carassius gibelio	101364	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743694;7956;101364					false																							
MN267655	Gymnocypris eckloni isolate GH23 cytochrome b gene, partial cds mitochondrial.	Gymnocypris eckloni	263515	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263515	China			Qaidam water system	false											GH23												
ON863401	HIV-1 strain GH23 from Ghana integrase (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH23											
AY396883	HIV-1 strain S|GH23 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH23											
HQ730803	Styela clava haplotype GH23 cytochrome oxidase subunit I (COI) gene, partial cds mitochondrial.	Styela clava	7725	1;131567;2759;33154;33208;6072;33213;33511;7711;7712;7713;7720;7721;7724;7725					false																							
OQ831743	Seimatosporium pezizoides isolate GH23 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence.	Seimatosporium pezizoides	1426782	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222545;3402561;1812776;162418;1426782	Iran			Zagros forests	false	Querqus infectoria					Ghobadi and Jamali		2022	2022-01-01	2022-12-31	GH23												
