accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
JX845700	Gambusia holbrooki clone Gh23 microsatellite sequence.	Gambusia holbrooki	37273	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;1489388;123365;123366;123367;123368;123369;1489872;1489908;1489913;28738;8087;8079;586240;33527;37273	Australia				false																							
ON315733	Hemiculter leucisculus isolate GH23 cytochrome b (cytb) gene, partial cds mitochondrial.	Hemiculter leucisculus	75350	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;2743745;2743747;75349;75350	China			Huaihe River	false							Qianhong Gu				GH23												
PP434675	Hynobius yiwuensis isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds mitochondrial.	Hynobius yiwuensis	244217	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;8292;41666;8293;30364;30366;36311;1527435;244217					false											GH23												
AB986081	Orthohepevirus A gene for capsid protein, partial cds, isolate: GH23-Nep14.	Paslahepevirus balayani	1678143	1;10239;2559587;2732396;2732406;2732461;2732543;3079366;2946639;2948857;1678143	Nepal:Biratnagar			serum from a 16-year-old female patient	false	Homo sapiens	9606				Shrestha,A.	Takahashi,K.	2014-05-06	2014-05-05	2014-05-06	GH23-Nep14	genotype 1a											
OM115976	Giardia intestinalis assemblage AII isolate GH23 triosephosphate isomerase gene, partial cds.	Giardia intestinalis assemblage AII	2044918	1;131567;2759;2611341;207245;5738;5739;68459;5740;5741;941442;2044918	Iran				false	Homo sapiens	9606									GH23												
HX871799	Hevea brasiliensis mRNA, clone: Hebr-GH23, 5' end sequence, expressed in latex.	Hevea brasiliensis	3981	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3646;3977;235631;235882;3980;3981					false					latex																		
AY397535	HIV-1 strain S|GH23 from Ghana envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH23											
OR668309	Hynobius unisacculus isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds mitochondrial.	Hynobius unisacculus	2606758	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;8292;41666;8293;30364;30366;36311;1527435;2606758	South Korea				false								2009	2009-01-01	2009-12-31	GH23												
MN267601	Gymnocypris eckloni isolate GH23 D-loop, partial sequence mitochondrial.	Gymnocypris eckloni	263515	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263515	China			Qaidam water system	false											GH23												
ON863365	HIV-1 strain GH23 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH23											
EU098622	Gossypium herbaceum isolate GH23 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	Gossypium herbaceum	34274	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91836;41938;3629;214907;3633;34274					false											GH23												
AY397202	HIV-1 strain S|GH23 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH23											
