accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
PQ732377	Uncultured Halobaculum sp. clone GH48 16S ribosomal RNA gene, partial sequence.	uncultured Halobaculum sp.	1682348	1;131567;2157;3366610;28890;2290931;183963;2235;1644056;43927;1682347;1682348				Halite, non-pigmented, Site 7	true																							
HM175746	Sitophilus oryzae glycoside hydrolase family protein 48 (GH48-1) mRNA, complete cds.	Sitophilus oryzae	7048	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41088;71529;7042;39812;7045;7048					false			adult		midgut																		
AJ849490	Viral haemorrhagic septicaemia virus partial n gene for nucleoprotein, genomic RNA, isolate GH48	Viral hemorrhagic septicemia virus	11287	1;10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842415;186778;1980916;11287	Spain:Flemish Cap				false	Reinhardtius hippoglossoides	111784									GH48												
GU439323	Uncultured bacterium clone GH48-TNG glycosyl hydrolase family 48 protein gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				gut	true	Batocera horsfieldi	351105																					
KX768679	Uncultured actinobacterium clone GH48_cell_Bulk_CK_1 glycoside hydrolase family 48 protein (GH48) gene, partial cds.	uncultured Actinomycetes bacterium	152507	1;131567;2;1783272;201174;1760;35766;152507	China			arable soil	true								20-Sep-2014	2014-09-19	2014-09-20													
KF009059	Uncultured bacterium clone 9007C-112 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009061	Uncultured bacterium clone 9007C-115 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009072	Uncultured bacterium clone 9007C-141 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009089	Uncultured bacterium clone 9007C-181 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009114	Uncultured bacterium clone 9007C-94 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009121	Uncultured bacterium clone 9007C-209 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009141	Uncultured bacterium clone 9007C-238 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009173	Uncultured bacterium clone 9007g-101 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009207	Uncultured bacterium clone 9007g-331 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009239	Uncultured bacterium clone 9007g-604 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009240	Uncultured bacterium clone 9007g-606 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
