accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
KF009249	Uncultured bacterium clone 9007g-644 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009271	Uncultured bacterium clone 9015C-318 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009282	Uncultured bacterium clone 9015C-353 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009304	Uncultured bacterium clone 9015C-431 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009314	Uncultured bacterium clone 9015C-505 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009324	Uncultured bacterium clone 9015C-515 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009335	Uncultured bacterium clone 9015C-529 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009396	Uncultured bacterium clone 9015g-101 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009440	Uncultured bacterium clone 9015g-106 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009449	Uncultured bacterium clone 9015g-131 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009460	Uncultured bacterium clone 9015g-304 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009491	Uncultured bacterium clone 9015g-403 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009506	Uncultured bacterium clone 9015g-421 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
AY856592	Hepatitis B virus isolate GH48 pre-core protein and core protein genes, partial cds.	Hepatitis B virus	10407	1;10239;2559587;2732397;2732409;2732514;2732515;10404;10405;3431302;10407	Ghana				false											GH48												
KF009053	Uncultured bacterium clone 9007C-2 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009055	Uncultured bacterium clone 9007C-101 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009067	Uncultured bacterium clone 9007C-131 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009068	Uncultured bacterium clone 9007C-132 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009075	Uncultured bacterium clone 9007C-148 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009090	Uncultured bacterium clone 9007C-183 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009098	Uncultured bacterium clone 9007C-56 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009103	Uncultured bacterium clone 9007C-66 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009104	Uncultured bacterium clone 9007C-68 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009107	Uncultured bacterium clone 9007C-74 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009117	Uncultured bacterium clone 9007C-203 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009148	Uncultured bacterium clone 9007C-252 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009174	Uncultured bacterium clone 9007g-111 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009177	Uncultured bacterium clone 9007g-128 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009231	Uncultured bacterium clone 9007g-519 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009233	Uncultured bacterium clone 9007g-525 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009241	Uncultured bacterium clone 9007g-632 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009255	Uncultured bacterium clone 9015C-129 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009265	Uncultured bacterium clone 9015C-310 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009345	Uncultured bacterium clone 9015C-548 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009366	Uncultured bacterium clone 9015C-601 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009369	Uncultured bacterium clone 9015C-604 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009380	Uncultured bacterium clone 9015C-620 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009392	Uncultured bacterium clone 9015g-53 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009397	Uncultured bacterium clone 9015g-102 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009400	Uncultured bacterium clone 9015g-107 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009443	Uncultured bacterium clone 9015g-121 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009448	Uncultured bacterium clone 9015g-129 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009463	Uncultured bacterium clone 9015g-309 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009471	Uncultured bacterium clone 9015g-319 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009473	Uncultured bacterium clone 9015g-324 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KX768670	Uncultured actinobacterium clone GH48_2000-200mum_NPK_7 glycoside hydrolase family 48 protein (GH48) gene, partial cds.	uncultured Actinomycetes bacterium	152507	1;131567;2;1783272;201174;1760;35766;152507	China			arable soil	true								20-Sep-2014	2014-09-19	2014-09-20													
KX768671	Uncultured actinobacterium clone GH48_63-2mum_CK_4 glycoside hydrolase family 48 protein (GH48) gene, partial cds.	uncultured Actinomycetes bacterium	152507	1;131567;2;1783272;201174;1760;35766;152507	China			arable soil	true								20-Sep-2014	2014-09-19	2014-09-20													
KF009092	Uncultured bacterium clone 9007C-186 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009094	Uncultured bacterium clone 9007C-193 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009120	Uncultured bacterium clone 9007C-208 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009144	Uncultured bacterium clone 9007C-246 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009155	Uncultured bacterium clone 9007C-265 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009157	Uncultured bacterium clone 9007C-268 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009160	Uncultured bacterium clone 9007g-2 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009162	Uncultured bacterium clone 9007g-13 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009226	Uncultured bacterium clone 9007g-333 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009234	Uncultured bacterium clone 9007g-533 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009242	Uncultured bacterium clone 9007g-634 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009279	Uncultured bacterium clone 9015C-348 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009315	Uncultured bacterium clone 9015C-506 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009318	Uncultured bacterium clone 9015C-509 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009344	Uncultured bacterium clone 9015C-546 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009348	Uncultured bacterium clone 9015C-552 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009355	Uncultured bacterium clone 9015C-561 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009377	Uncultured bacterium clone 9015C-617 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009407	Uncultured bacterium clone 9015g-117 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009417	Uncultured bacterium clone 9015g-213 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009419	Uncultured bacterium clone 9015g-216 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009423	Uncultured bacterium clone 9015g-220 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009425	Uncultured bacterium clone 9015g-222 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009435	Uncultured bacterium clone 9015g-236 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009450	Uncultured bacterium clone 9015g-133 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009458	Uncultured bacterium clone 9015g-143 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009478	Uncultured bacterium clone 9015g-331 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KX768681	Uncultured actinobacterium clone GH48_cell_200-63mum_NPKM_5 glycoside hydrolase family 48 protein (GH48) gene, partial cds.	uncultured Actinomycetes bacterium	152507	1;131567;2;1783272;201174;1760;35766;152507	China			arable soil	true								20-Sep-2014	2014-09-19	2014-09-20													
KX768684	Uncultured actinobacterium clone GH48_cell_63-2mum_CK_2 glycoside hydrolase family 48 protein (GH48) gene, partial cds.	uncultured Actinomycetes bacterium	152507	1;131567;2;1783272;201174;1760;35766;152507	China			arable soil	true								20-Sep-2014	2014-09-19	2014-09-20													
KF009134	Uncultured bacterium clone 9007C-227 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009223	Uncultured bacterium clone 9007g-434 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009238	Uncultured bacterium clone 9007g-603 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009287	Uncultured bacterium clone 9015C-361 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009182	Uncultured bacterium clone 9007g-219 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009218	Uncultured bacterium clone 9007g-406 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009415	Uncultured bacterium clone 9015g-211 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009176	Uncultured bacterium clone 9007g-118 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
AB301022	Bacillus amyloliquefaciens gene for 16S rRNA, partial sequence, strain: GH48.	Bacillus amyloliquefaciens	1390	1;131567;2;1783272;1239;91061;1385;186817;1386;653685;1938374;1390					false												GH48											
HM175832	Gastrophysa viridula glycoside hydrolase family protein 48 (GH48-3) mRNA, complete cds.	Gastrophysa viridula	154015	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41088;71528;27439;63707;63708;154013;154015					false			larva		midgut																		
HM175747	Sitophilus oryzae glycoside hydrolase family protein 48 (GH48-2) mRNA, complete cds.	Sitophilus oryzae	7048	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41088;71529;7042;39812;7045;7048					false			adult		midgut																		
HM175779	Chrysomela tremulae glycoside hydrolase family protein 48 (GH48-2) mRNA, complete cds.	Chrysomela tremula	63687	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41088;71528;27439;63707;63708;41127;63687					false			larva		midgut																		
HM175778	Chrysomela tremulae glycoside hydrolase family protein 48 (GH48-1) mRNA, complete cds.	Chrysomela tremula	63687	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41088;71528;27439;63707;63708;41127;63687					false			larva		midgut																		
KX768665	Uncultured actinobacterium clone GH48_Bulk_CK_2 glycoside hydrolase family 48 protein (GH48) gene, partial cds.	uncultured Actinomycetes bacterium	152507	1;131567;2;1783272;201174;1760;35766;152507	China			arable soil	true								20-Sep-2014	2014-09-19	2014-09-20													
KF009108	Uncultured bacterium clone 9007C-75 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009131	Uncultured bacterium clone 9007C-222 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009132	Uncultured bacterium clone 9007C-223 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009138	Uncultured bacterium clone 9007C-232 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009163	Uncultured bacterium clone 9007g-20 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009188	Uncultured bacterium clone 9007g-167 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009205	Uncultured bacterium clone 9007g-315 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009206	Uncultured bacterium clone 9007g-324 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009217	Uncultured bacterium clone 9007g-405 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009244	Uncultured bacterium clone 9007g-638 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009248	Uncultured bacterium clone 9007g-643 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009307	Uncultured bacterium clone 9015C-442 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009320	Uncultured bacterium clone 9015C-511 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009328	Uncultured bacterium clone 9015C-522 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009330	Uncultured bacterium clone 9015C-524 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009365	Uncultured bacterium clone 9015C-575 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009388	Uncultured bacterium clone 9015g-11 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009390	Uncultured bacterium clone 9015g-18 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009453	Uncultured bacterium clone 9015g-136 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009054	Uncultured bacterium clone 9007C-10 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009065	Uncultured bacterium clone 9007C-125 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009071	Uncultured bacterium clone 9007C-139 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009073	Uncultured bacterium clone 9007C-144 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009081	Uncultured bacterium clone 9007C-160 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009100	Uncultured bacterium clone 9007C-62 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009112	Uncultured bacterium clone 9007C-86 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009122	Uncultured bacterium clone 9007C-210 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009125	Uncultured bacterium clone 9007C-214 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009127	Uncultured bacterium clone 9007C-216 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009145	Uncultured bacterium clone 9007C-247 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009147	Uncultured bacterium clone 9007C-251 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009167	Uncultured bacterium clone 9007g-72 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009170	Uncultured bacterium clone 9007g-82 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009171	Uncultured bacterium clone 9007g-92 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009184	Uncultured bacterium clone 9007g-182 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009186	Uncultured bacterium clone 9007g-229 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009193	Uncultured bacterium clone 9007g-263 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009198	Uncultured bacterium clone 9007g-289 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009212	Uncultured bacterium clone 9007g-352 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009235	Uncultured bacterium clone 9007g-536 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
KF009236	Uncultured bacterium clone 9007g-540 glycoside hydrolase 48 family protein (GH48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				cow rumen	true																							
