accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
MK568266	UNVERIFIED: Clavibacter michiganensis subsp. michiganensis strain gh19 RNA polymerase subunit beta-like (rpoB) gene, partial sequence.	Clavibacter michiganensis subsp. michiganensis	33013	1;131567;2;1783272;201174;1760;85006;85023;1573;28447;33013	Iran			foliage	false	Solanum lycopersicum	4081				Maryam Ansari		2017	2017-01-01	2017-12-31		gh19	michiganensis										
JX845698	Gambusia holbrooki clone Gh19 microsatellite sequence.	Gambusia holbrooki	37273	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;1489388;123365;123366;123367;123368;123369;1489872;1489908;1489913;28738;8087;8079;586240;33527;37273	Australia				false																							
HQ660154	Bat Paramyxovirus Hip_spec/GH19-T/GHA/2009 isolate BatPV/Hip_spec/GH19-T/GHA/2009 RNA-dependent RNA polymerase (L) gene, partial cds.	Bat Paramyxovirus Hip_spec/GH19-T/GHA/2009	1112656	1;10239;2559587;2732396;2497569;2497570;2497574;11157;11158;336871;1112656	Ghana				false	Hipposideros sp.	3374061						2009	2009-01-01	2009-12-31	BatPV/Hip_spec/GH19-T/GHA/2009												
HQ660153	Bat Paramyxovirus Hip_rub/GH19-140/GHA/2009 isolate BatPV/Hip_rub/GH19-140/GHA/2009 RNA-dependent RNA polymerase (L) gene, partial cds.	Bat Paramyxovirus Hip_rub/GH19-140/GHA/2009	1112655	1;10239;2559587;2732396;2497569;2497570;2497574;11157;11158;336871;1112655	Ghana				false	Hipposideros ruber	463808						2009	2009-01-01	2009-12-31	BatPV/Hip_rub/GH19-140/GHA/2009												
LC571610	Lysobacter sp. MK9-1 Chi19MK gene for GH19 chitinase, complete cds.	Lysobacter sp.	72226	1;131567;2;3379134;1224;1236;135614;32033;68;2635362;72226	Japan:Yamagata, Yonezawa			soil	false						Shigekazu Yano		2012	2012-01-01	2012-12-31		MK9-1											
OL854162	Colletotrichum fructicola isolate GH19 chitin synthase (CHS-1) gene, partial cds.	Colletotrichum fructicola	690256	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707338;690256	China				false											GH19												
ON315729	Hemiculter leucisculus isolate GH19 cytochrome b (cytb) gene, partial cds mitochondrial.	Hemiculter leucisculus	75350	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;2743745;2743747;75349;75350	China			Huaihe River	false							Qianhong Gu				GH19												
HQ730799	Styela clava haplotype GH19 cytochrome oxidase subunit I (COI) gene, partial cds mitochondrial.	Styela clava	7725	1;131567;2759;33154;33208;6072;33213;33511;7711;7712;7713;7720;7721;7724;7725					false																							
MN971588	Ipomoea batatas cultivar Nanjing92 GH19 family class II acidic chitinase mRNA, complete cds.	Ipomoea batatas	4120	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71274;91888;4069;4118;267213;4119;4120	China				false								26-May-2017	2017-05-25	2017-05-26					Nanjing92					Tuberous root			
MK568138	Clavibacter michiganensis subsp. michiganensis strain gh19 F0F1 ATP synthase subunit beta (atpD) gene, partial cds.	Clavibacter michiganensis subsp. michiganensis	33013	1;131567;2;1783272;201174;1760;85006;85023;1573;28447;33013	Iran			foliage	false	Solanum lycopersicum	4081				Maryam Ansari		2017	2017-01-01	2017-12-31		gh19	michiganensis										
OL772741	Colletotrichum fructicola isolate GH19 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence.	Colletotrichum fructicola	690256	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707338;690256					false											GH19												
AB301435	Bacillus sp. GH19 rpoB gene for RNA polymerase beta subunit, partial cds, strain: GH19.	Bacillus sp. GH19	439186	1;131567;2;1783272;1239;91061;1385;186817;1386;185979;439186					false												GH19											
EF100837	Ailuropoda melanoleuca haplotype GH19 control region, partial sequence mitochondrial.	Ailuropoda melanoleuca	9646	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;33554;379584;9632;9645;9646					false																							
FJ971954	Paramyxovirus bat/GH19/2009 polymerase (L) gene, partial cds.	Paramyxovirus bat/GH19/2009	714382	1;10239;2559587;2732396;2497569;2497570;2497574;11157;11158;336871;714382	Ghana				false	Eidolon helvum	77214						2009	2009-01-01	2009-12-31		BatPV/Eid.hel/GH19/2009											
OL854151	Colletotrichum fructicola isolate GH19 calmodulin (CAL) gene, partial cds.	Colletotrichum fructicola	690256	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707338;690256	China				false											GH19												
HQ694616	Carassius gibelio haplotype GH19 D-loop, partial sequence mitochondrial.	Carassius gibelio	101364	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743694;7956;101364					false																							
AB301019	Bacillus pumilus gene for 16S rRNA, partial sequence, strain: GH19.	Bacillus pumilus	1408	1;131567;2;1783272;1239;91061;1385;186817;1386;1408					false												GH19											
MN267651	Gymnocypris eckloni isolate GH19 cytochrome b gene, partial cds mitochondrial.	Gymnocypris eckloni	263515	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263515	China			Qaidam water system	false											GH19												
OL854190	Colletotrichum fructicola isolate GH19 beta-tubulin 2 (tub2) gene, partial cds.	Colletotrichum fructicola	690256	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707338;690256	China				false											GH19												
KJ699341	Maize streak virus isolate MSV-A_GH-gh19-For-2010, complete genome.	Maize streak virus	10821	1;10239;2731342;2732092;2732416;2732424;2732539;10811;10812;3430734;10821	Ghana	7.6 N 1.82 W			false	Zea mays subsp. mays	381124						2010	2010-01-01	2010-12-31	MSV-A_GH-gh19-For-2010												
PQ732351	Uncultured Halobaculum sp. clone GH19 16S ribosomal RNA gene, partial sequence.	uncultured Halobaculum sp.	1682348	1;131567;2157;3366610;28890;2290931;183963;2235;1644056;43927;1682347;1682348				Halite, pigmented, site 1	true																							
OM115982	Giardia intestinalis assemblage AII isolate GH19 triosephosphate isomerase gene, partial cds.	Giardia intestinalis assemblage AII	2044918	1;131567;2759;2611341;207245;5738;5739;68459;5740;5741;941442;2044918	Iran				false	Homo sapiens	9606									GH19												
HX871796	Hevea brasiliensis mRNA, clone: Hebr-GH19, 5' end sequence, expressed in latex.	Hevea brasiliensis	3981	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3646;3977;235631;235882;3980;3981					false					latex																		
MK568202	UNVERIFIED: Clavibacter michiganensis subsp. michiganensis strain gh19 polyphosphate kinase-like (ppk) gene, partial sequence.	Clavibacter michiganensis subsp. michiganensis	33013	1;131567;2;1783272;201174;1760;85006;85023;1573;28447;33013	Iran			foliage	false	Solanum lycopersicum	4081				Maryam Ansari		2017	2017-01-01	2017-12-31		gh19	michiganensis										
EU723658	Gracilibacillus halotolerans isolate Gh19 16S ribosomal RNA gene, partial sequence 16S-23S internal transcribed spacer, complete sequence and 23S ribosomal RNA gene, partial sequence.	Gracilibacillus halotolerans	74386	1;131567;2;1783272;1239;91061;1385;186817;74385;74386					false											Gh19	DSM 11805											
