accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
OM100922	Colletotrichum fructicola isolate GH19 actin (ACT) gene, partial cds.	Colletotrichum fructicola	690256	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707338;690256	China				false											GH19												
KC875428	Sus scrofa voucher GH19 control region, partial sequence mitochondrial.	Sus scrofa	9823	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;91561;35497;9821;9822;9823					false																		GH19					
MW674692	Halorubrum sp. strain GH19 16S ribosomal RNA gene, partial sequence.	Halorubrum sp.	1879286	1;131567;2157;3366610;28890;2290931;183963;2235;1644056;56688;2642239;1879286					false												GH19											
OM116011	Giardia intestinalis assemblage AII isolate GH19 glutamate dehydrogenase gene, partial cds.	Giardia intestinalis assemblage AII	2044918	1;131567;2759;2611341;207245;5738;5739;68459;5740;5741;941442;2044918	Iran				false	Homo sapiens	9606									GH19												
EU098615	Gossypium herbaceum isolate GH19 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	Gossypium herbaceum	34274	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91836;41938;3629;214907;3633;34274					false											GH19												
MN064559	Stylosanthes guianensis glycoside hydrolase family 19-1 (GH19-1) mRNA, complete cds.	Stylosanthes guianensis	62615	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;72025;3803;3814;2231393;2231387;163725;2231390;35627;62623;62615					false																							
JQ741997	Uncultured bacterium clone GH19 glycosyl hydrolase family 48 (GHF48) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133	China			marine sediment	true																							
KY016743	Tetragnatha sp. GH19-GH27 isolate ARAGH000019 18S ribosomal RNA gene, partial sequence.	Tetragnatha sp. GH19-GH27	1956753	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6893;6905;74971;74974;74975;27394;27395;2626088;1956753	Singapore: Nee Soon Swamp Forest				false											ARAGH000019							GH0076 WPM 05-015					
AY396878	HIV-1 strain S|GH19 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH19											
AY397532	HIV-1 strain S|GH19 from Ghana envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH19											
AB301460	Bacillus sp. GH19 fus gene for elongation factor G, partial cds, strain: GH19.	Bacillus sp. GH19	439186	1;131567;2;1783272;1239;91061;1385;186817;1386;185979;439186					false												GH19											
DQ191179	Lysobacter yangpyeongensis strain GH19-3 16S ribosomal RNA gene, partial sequence.	Lysobacter yangpyeongensis	346182	1;131567;2;3379134;1224;1236;135614;32033;68;346182					false												GH19-3							DSM:17635 KACC:11407				
OR668305	Hynobius unisacculus isolate GH19 cytochrome c oxidase subunit I (COX1) gene, partial cds mitochondrial.	Hynobius unisacculus	2606758	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;8292;41666;8293;30364;30366;36311;1527435;2606758	South Korea				false								2009	2009-01-01	2009-12-31	GH19												
ON863362	HIV-1 strain GH19 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH19											
OM100936	Colletotrichum fructicola isolate GH19 mating type protein 1-2-1 (Mat-1-2-1) gene, partial cds and MAT-1-2-1-Apn2 intergenic spacer, partial sequence.	Colletotrichum fructicola	690256	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707338;690256	China				false											GH19												
KY016151	Tetragnatha sp. GH19-GH27 isolate ARAGH000019 16S ribosomal RNA gene, partial sequence mitochondrial.	Tetragnatha sp. GH19-GH27	1956753	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6893;6905;74971;74974;74975;27394;27395;2626088;1956753	Singapore: Nee Soon Swamp Forest				false											ARAGH000019							GH0076 WPM 05-015					
MK568170	UNVERIFIED: Clavibacter michiganensis subsp. michiganensis strain gh19 DNA gyrase subunit B-like (gyrB) gene, partial sequence.	Clavibacter michiganensis subsp. michiganensis	33013	1;131567;2;1783272;201174;1760;85006;85023;1573;28447;33013	Iran			foliage	false	Solanum lycopersicum	4081				Maryam Ansari		2017	2017-01-01	2017-12-31		gh19	michiganensis										
OQ831739	Achaetomium aegilopis isolate GH19 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence.	Achaetomium aegilopis	2795249	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222544;5139;35718;79812;2795249	Iran			Zagros forests	false	Querqus infectoria					Ghobadi and Jamali		2022	2022-01-01	2022-12-31	GH19												
MN267597	Gymnocypris eckloni isolate GH19 D-loop, partial sequence mitochondrial.	Gymnocypris eckloni	263515	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263515	China			Qaidam water system	false											GH19												
ON863398	HIV-1 strain GH19 from Ghana integrase (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH19											
OP730330	Plasmodiophora brassicae isolate ZJ-1 GH19 chitinase (Chia4) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
AB986079	Orthohepevirus A gene for capsid protein, partial cds, isolate: GH19-Nep14.	Paslahepevirus balayani	1678143	1;10239;2559587;2732396;2732406;2732461;2732543;3079366;2946639;2948857;1678143	Nepal:Biratnagar			serum from a 33-year-old male patient	false	Homo sapiens	9606				Shrestha,A.	Takahashi,K.	2014-05-05	2014-05-04	2014-05-05	GH19-Nep14	genotype 1a											
OL854176	Colletotrichum fructicola isolate GH19 glyceraldehyde 3-phosphate dehydrogenase (GAPDH) gene, intron.	Colletotrichum fructicola	690256	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;1028384;681950;5455;2707338;690256	China				false											GH19												
KY018459	Tetragnatha sp. GH19-GH27 isolate ARAGH000019 histone H3 (H3) gene, partial cds.	Tetragnatha sp. GH19-GH27	1956753	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6893;6905;74971;74974;74975;27394;27395;2626088;1956753	Singapore: Nee Soon Swamp Forest				false											ARAGH000019							GH0076 WPM 05-015					
MK568234	Clavibacter michiganensis subsp. michiganensis strain gh19 recombinase A (recA) gene, partial cds.	Clavibacter michiganensis subsp. michiganensis	33013	1;131567;2;1783272;201174;1760;85006;85023;1573;28447;33013	Iran			foliage	false	Solanum lycopersicum	4081				Maryam Ansari		2017	2017-01-01	2017-12-31		gh19	michiganensis										
AY397205	HIV-1 strain S|GH19 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH19											
KY017958	Tetragnatha sp. GH19-GH27 isolate ARAGH000019 cytchrome oxidase subunit I (COI) gene, partial cds mitochondrial.	Tetragnatha sp. GH19-GH27	1956753	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6893;6905;74971;74974;74975;27394;27395;2626088;1956753	Singapore: Nee Soon Swamp Forest				false											ARAGH000019							GH0076 WPM 05-015					
