accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
OP730343	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia17) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
HX871795	Hevea brasiliensis mRNA, clone: Hebr-GH18, 5' end sequence, expressed in latex.	Hevea brasiliensis	3981	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3646;3977;235631;235882;3980;3981					false					latex																		
KP748786	UNVERIFIED: Uncultured fungus clone BB5 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KM221021	Hirsutella thompsonii strain MTCC3556 glycoside hydrolase family 18 (GH18-3) mRNA, complete cds.	Hirsutella thompsonii	42368	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;474942;42367;42368					false												MTCC3556											
KP748790	UNVERIFIED: Uncultured fungus clone BB7 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
PV030903	Streptomyces sp. strain RVRA3 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		RVRA3											
KP748783	UNVERIFIED: Uncultured fungus clone OR13 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
LT903671	Micromonospora chaiyaphumensis partial GH18 gene for family 18 chitinase, Partial , isolate isolate#C37	Micromonospora chaiyaphumensis	307119	1;131567;2;1783272;201174;1760;85008;28056;1873;307119					false											isolate#C37										PRJEB21831		
KM504392	Beauveria bassiana strain ARSEF 2860 glycoside hydrolase family 18 (GH18-3) mRNA, complete cds.	Beauveria bassiana	176275	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;474943;5581;176275					false												ARSEF 2860											
OR668304	Hynobius unisacculus isolate GH18 cytochrome c oxidase subunit I (COX1) gene, partial cds mitochondrial.	Hynobius unisacculus	2606758	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;8292;41666;8293;30364;30366;36311;1527435;2606758	South Korea				false								2009	2009-01-01	2009-12-31	GH18												
AB301459	Bacillus sp. GH18 fus gene for elongation factor G, partial cds, strain: GH18.	Bacillus sp. GH18	439185	1;131567;2;1783272;1239;91061;1385;186817;1386;185979;439185					false												GH18											
HQ694615	Carassius gibelio haplotype GH18 D-loop, partial sequence mitochondrial.	Carassius gibelio	101364	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743694;7956;101364					false																							
ON315728	Hemiculter leucisculus isolate GH18 cytochrome b (cytb) gene, partial cds mitochondrial.	Hemiculter leucisculus	75350	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;2743745;2743747;75349;75350	China			Huaihe River	false							Qianhong Gu				GH18												
LC843355	Irpex lacteus NK-1 Ilchi18c mRNA for GH18 chitinase, complete cds.	Irpex lacteus	5319	1;131567;2759;33154;4751;451864;5204;5302;155619;355688;5303;1931355;5318;5319					false												NK-1											
OP730342	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia16) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
OP730329	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia3) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
PQ732350	Uncultured Halobaculum sp. clone GH18 16S ribosomal RNA gene, partial sequence.	uncultured Halobaculum sp.	1682348	1;131567;2157;3366610;28890;2290931;183963;2235;1644056;43927;1682347;1682348				GSL pigmented lake water 3	true																							
KT921888	Serratia marcescens clone PH1a_10 GH18 chitinase-like superfamily protein gene, complete cds.	Serratia marcescens	615	1;131567;2;3379134;1224;1236;91347;1903411;613;615					false												PH1a											
HM147839	Uncultured microorganism clone BT-12 GH18 chitinase-like protein gene, complete cds.	uncultured microorganism	358574	1;2787823;12908;151659;358574	Thailand			rumen	true	buffalo																						
KP748789	UNVERIFIED: Uncultured fungus clone DE10 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748792	UNVERIFIED: Uncultured fungus clone OR6 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748793	UNVERIFIED: Uncultured fungus clone OR3 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
LT903669	Streptomyces griseoflavus partial GH18 gene for family 18 chitinase, Partial , isolate isolate#C34	Streptomyces griseoflavus	35619	1;131567;2;1783272;201174;1760;85011;2062;1883;35619					false											isolate#C34										PRJEB21831		
KM221023	Ophiocordyceps sinensis strain CO18 glycoside hydrolase family 18 (GH18-1) mRNA, complete cds.	Ophiocordyceps sinensis	72228	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;474942;474995;72228					false												CO18											
