accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
MZ505238	Halomicrobium sp. strain GH18 16S ribosomal RNA gene, partial sequence.	Halomicrobium sp.	1973139	1;131567;2157;3366610;28890;2290931;183963;2235;1963268;203135;2610901;1973139	China	37.12 N 97.6 E	2808.0	GaHai salt lake	false												GH18											
OP730339	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia13) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
OP730334	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia8) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
KT921887	Serratia fonticola clone H1w_37 GH18 chitinase-like superfamily protein gene, complete cds.	Serratia fonticola	47917	1;131567;2;3379134;1224;1236;91347;1903411;613;47917					false												H1w											
OP730336	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia10) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
KT921883	Serratia fonticola clone H1n_36 GH18 chitinase-like superfamily protein gene, complete cds.	Serratia fonticola	47917	1;131567;2;3379134;1224;1236;91347;1903411;613;47917					false												H1n											
KT921880	Pseudomonas aeruginosa clone H1l_14 GH18 chitinase-like superfamily protein gene, complete cds.	Pseudomonas aeruginosa	287	1;131567;2;3379134;1224;1236;72274;135621;286;136841;287					false												H1l											
KM221024	Ophiocordyceps sinensis strain CO18 glycoside hydrolase family 18 (GH18-2) mRNA, complete cds.	Ophiocordyceps sinensis	72228	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;474942;474995;72228					false												CO18											
KP748802	UNVERIFIED: Uncultured fungus clone BB16 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
FJ386997	Aphanomyces astaci strain Gb04 putative GH18 endochitinase precursor (CHI3) mRNA, complete cds.	Aphanomyces astaci	112090	1;131567;2759;2698737;33634;4762;4763;4764;100860;112090	Austria:Ganaubach, Burgenland Province				false	Pacifastacus leniusculus	6720						2004	2004-01-01	2004-12-31		Gb04											
KP748784	UNVERIFIED: Uncultured fungus clone RE10 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748791	UNVERIFIED: Uncultured fungus clone DE15 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
AY397222	HIV-1 strain S|GH18 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH18											
KP748801	UNVERIFIED: Uncultured fungus clone OR10 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748804	UNVERIFIED: Uncultured fungus clone DE7 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748805	UNVERIFIED: Uncultured fungus clone BB2 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KT921882	Bacillus sp. H1m clone H1m_141 GH18 chitinase-like superfamily protein gene, complete cds.	Bacillus sp. H1m	1397277	1;131567;2;1783272;1239;91061;1385;186817;1386;185979;1397277					false												H1m											
AY396900	HIV-1 strain S|GH18 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH18											
KP748785	UNVERIFIED: Uncultured fungus clone DE9 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748800	UNVERIFIED: Uncultured fungus clone DE6 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
